Fight_ID,R_fighter,B_fighter,Winner,title_bout,B_current_streak,B_avg_SIG_STR_landed,B_avg_opp_SIG_STR_landed,B_total_time_fought(seconds),B_Stance,B_Height_cms,B_Reach_cms,R_streak,R_avg_SIG_STR_landed,R_avg_opp_SIG_STR_landed,R_total_time_fought(seconds),R_Stance,R_Height_cms,R_Reach_cms,B_age,R_age,R_Record,B_Record,B_Takedown_Diff,R_Takedown_Diff
968,Alessio Sakara,Joe Vedepo,Red,FALSE,0,,,,Orthodox,182.88,,-1,22.125,11,256,Orthodox,182.88,182.88,,27,,,,
967,Wilson Gouveia,Ryan Jensen,Red,FALSE,-2,6.5,6.5,193.5,Orthodox,185.42,193.04,-1,21.66666667,24.33333333,410,Orthodox,185.42,193.04,30,29,,,,
966,Joe Lauzon,Kyle Bradley,Red,FALSE,-1,0,12,33,Orthodox,175.26,180.34,-1,5.75,10.5,264.75,Orthodox,177.8,180.34,26,24,,,,
965,Jason Brilz,Brad Morris,Red,FALSE,-1,1,36,130,Orthodox,187.96,,0,,,,Orthodox,180.34,180.34,28,33,,,,
964,Mike Massenzio,Drew McFedries,Red,FALSE,1,15.8,13,139.6,Southpaw,182.88,182.88,0,,,,Southpaw,187.96,185.42,30,25,,,,
963,Dan Miller,Rob Kimmons,Red,FALSE,1,9,5,238,Orthodox,177.8,185.42,0,,,,Orthodox,185.42,187.96,27,27,,,,
962,Rashad Evans,Chuck Liddell,Red,FALSE,1,28.8,18.65,564.75,Orthodox,187.96,193.04,1,24,21.71428571,758.2857143,Orthodox,182.88,190.5,38,28,,,,
961,Rich Franklin,Matt Hamill,Red,FALSE,1,32.6,22,542.4,Orthodox,185.42,193.04,1,41.58333333,15.5,557.5833333,Southpaw,185.42,190.5,31,33,,,,
960,Dan Henderson,Rousimar Palhares,Red,FALSE,1,0,1,156,Orthodox,172.72,180.34,-2,34.75,44.25,973,Orthodox,180.34,187.96,28,38,,,,
959,Nate Marquardt,Martin Kampmann,Red,FALSE,4,34.75,16.25,372.25,Orthodox,182.88,182.88,-1,29,14.14285714,665.8571429,Orthodox,182.88,187.96,26,29,,,,
958,Dong Hyun Kim,Matt Brown,Red,FALSE,1,32,26,520,Orthodox,182.88,190.5,1,77,2,625,Southpaw,187.96,193.04,27,26,,,,
957,Kurt Pellegrino,Thiago Tavares,Red,FALSE,-1,14,14,717.2,Orthodox,170.18,172.72,-1,17.33333333,12.83333333,463.8333333,Orthodox,172.72,177.8,23,29,,,,
956,Tim Boetsch,Michael Patt,Red,FALSE,0,,,,Orthodox,182.88,,-1,30,19,338.5,Orthodox,182.88,187.96,,27,,,,
955,Jason MacDonald,Jason Lambert,Red,FALSE,-2,20.28571429,10.28571429,327.5714286,Orthodox,190.5,190.5,-1,15,22.57142857,546,Orthodox,190.5,203.2,33,33,,,,
954,Ryo Chonan,Roan Carneiro,Red,FALSE,-1,15.5,11,577.5,Orthodox,180.34,187.96,-1,35,49,900,Orthodox,175.26,177.8,30,31,,,,
953,Georges St-Pierre,Jon Fitch,Red,TRUE,8,30.875,11.25,703.25,Orthodox,182.88,193.04,3,36.75,10.5,541,Orthodox,180.34,193.04,30,27,,,,
