Fight_ID,R_fighter,B_fighter,Winner,title_bout
4711,Dustin Ortiz,Matheus Nicolau,Red,FALSE
4710,Randa Markos,Nina Ansaroff,Blue,FALSE
4709,Devin Powell,Alvaro Herrera,Red,FALSE
4708,Mauricio Rua,Anthony Smith,Blue,FALSE
4707,Glover Teixeira,Corey Anderson,Blue,FALSE
4706,Vitor Miranda,Abu Azaitar,Blue,FALSE
4705,Marcin Tybura,Stefan Struve,Red,FALSE
4704,Danny Roberts,David Zawada,Red,FALSE
4703,Nasrat Haqparast,Marc Diakiese,Red,FALSE
4702,Nick Hein,Damir Hadzovic,Blue,FALSE
4701,Emil Meek,Bartosz Fabinski,Blue,FALSE
4700,Khalid Taha,Nad Narimani,Blue,FALSE
4699,Justin Ledet,Aleksandar Rakic,Blue,FALSE
4698,Davey Grant,Manny Bermudez,Blue,FALSE
4697,Jeremy Kimball,Darko Stosic,Blue,FALSE
4696,Damian Stasiak,Liu Pingyuan,Blue,FALSE
4695,Junior Dos Santos,Blagoy Ivanov,Red,FALSE
4694,Sage Northcutt,Zak Ottow,Red,FALSE
4693,Dennis Bermudez,Rick Glenn,Blue,FALSE
4692,Randy Brown,Niko Price,Blue,FALSE
4691,Myles Jury,Chad Mendes,Blue,FALSE
4690,Cat Zingano,Marion Reneau,Red,FALSE
4689,Eddie Wineland,Alejandro Perez,Blue,FALSE
4688,Darren Elkins,Alexander Volkanovski,Blue,FALSE
4687,Justin Scoggins,Said Nurmagomedov,Blue,FALSE
4686,Kurt Holobaugh,Raoni Barcelos,Blue,FALSE
4685,Liz Carmouche,Jennifer Maia,Red,FALSE
4684,Mark De La Rosa,Elias Garcia,Red,FALSE
4683,Jessica Aguilar,Jodie Esquibel,Red,FALSE
4682,Stipe Miocic,Daniel Cormier,Blue,TRUE
4681,Francis Ngannou,Derrick Lewis,Blue,FALSE
4680,Paul Felder,Mike Perry,Blue,FALSE
4679,Michael Chiesa,Anthony Pettis,Blue,FALSE
4678,Gokhan Saki,Khalil Rountree Jr.,Blue,FALSE
4677,Uriah Hall,Paulo Costa,Blue,FALSE
4676,Raphael Assuncao,Rob Font,Red,FALSE
4675,Lando Vannata,Drakkar Klose,Blue,FALSE
4674,Curtis Millender,Max Griffin,Red,FALSE
